experiment,subset,log_path,noise_amp,driver_scale,phase_ns,vdd,seed,edyn_pJ,eword_pJ,sense_min_mV,sense_max_mV,sense_thresh_latency_ps,comp_toggle_latency_ps,comp_pass,headroom_histogram
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,23,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,23,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,24,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,24,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,24,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,25,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,25,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,25,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,26,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,26,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,26,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,27,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,27,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,27,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,28,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,28,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,28,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,29,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,29,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,29,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,30,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,30,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,30,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,31,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,31,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,31,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,32,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,32,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,32,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,33,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,33,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,33,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,34,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,34,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,34,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,35,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,35,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,35,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,36,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,36,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,36,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,37,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,37,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,37,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,38,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,38,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,38,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,39,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,39,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,39,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,40,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,40,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,40,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,41,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
